index,no_urut,masuk
0,1,LOLOS
1,2,LOLOS
2,3,TIDAK
3,4,LOLOS
4,5,TIDAK
5,6,TIDAK
6,7,TIDAK
7,8,LOLOS
8,9,TIDAK
9,10,TIDAK
10,11,LOLOS
11,12,TIDAK
12,13,LOLOS
13,14,LOLOS
14,15,TIDAK
15,16,TIDAK
16,17,TIDAK
17,18,TIDAK
18,19,LOLOS
19,20,TIDAK
20,21,TIDAK
21,22,TIDAK
22,23,TIDAK
23,24,TIDAK
24,25,TIDAK
25,26,TIDAK
26,27,TIDAK
27,28,LOLOS
28,29,LOLOS
29,30,TIDAK
30,31,TIDAK
31,32,TIDAK
32,33,TIDAK
33,34,TIDAK
34,35,LOLOS
35,36,TIDAK
36,37,TIDAK
37,38,TIDAK
38,39,TIDAK
39,40,TIDAK
40,41,TIDAK
41,42,TIDAK
42,43,TIDAK
43,44,TIDAK
44,45,LOLOS
45,46,TIDAK
46,47,TIDAK
47,48,TIDAK
48,49,TIDAK
49,50,TIDAK
50,51,TIDAK
51,52,TIDAK
52,53,TIDAK
53,54,TIDAK
54,55,TIDAK
55,56,LOLOS
56,57,TIDAK
57,58,TIDAK
58,59,TIDAK
59,60,TIDAK
60,61,TIDAK
61,62,TIDAK
62,63,TIDAK
63,64,TIDAK
64,65,LOLOS
65,66,TIDAK
66,67,LOLOS
67,68,TIDAK
68,69,TIDAK
69,70,TIDAK
70,71,TIDAK
71,72,LOLOS
72,73,TIDAK
73,74,TIDAK
74,75,TIDAK
75,76,TIDAK
76,77,TIDAK
77,78,TIDAK
78,79,TIDAK
79,80,TIDAK
80,81,TIDAK
81,82,TIDAK
82,83,TIDAK
83,84,TIDAK
84,85,LOLOS
85,86,LOLOS
86,87,LOLOS
87,88,LOLOS
88,89,TIDAK
89,90,TIDAK
90,91,TIDAK
91,92,TIDAK
92,93,TIDAK
93,94,TIDAK
94,95,TIDAK
95,96,TIDAK
96,97,TIDAK
97,98,LOLOS
98,99,LOLOS
99,100,TIDAK
100,101,TIDAK
101,102,TIDAK
102,103,LOLOS
103,104,LOLOS
104,105,TIDAK
105,106,LOLOS
106,107,TIDAK
107,108,LOLOS
108,109,LOLOS
109,110,TIDAK
110,111,LOLOS
111,112,TIDAK
112,113,LOLOS
113,114,LOLOS
114,115,TIDAK
115,116,LOLOS
116,117,TIDAK
117,118,LOLOS
118,119,LOLOS
119,120,TIDAK
120,121,TIDAK
121,122,TIDAK
122,123,LOLOS
123,124,LOLOS
124,125,TIDAK
125,126,TIDAK
126,127,LOLOS
127,128,LOLOS
128,129,TIDAK
129,130,TIDAK
130,131,LOLOS
131,132,LOLOS
132,133,TIDAK
133,134,TIDAK
134,135,TIDAK
135,136,TIDAK
136,137,TIDAK
137,138,TIDAK
138,139,TIDAK
139,140,TIDAK
140,141,TIDAK
141,142,TIDAK
142,143,TIDAK
143,144,TIDAK
144,145,TIDAK
145,146,TIDAK
146,147,TIDAK
147,148,TIDAK
148,149,TIDAK
149,150,TIDAK
150,151,TIDAK
151,152,LOLOS
152,153,TIDAK
153,154,TIDAK
154,155,TIDAK
155,156,TIDAK
156,157,TIDAK
157,158,TIDAK
158,159,TIDAK
159,160,TIDAK
160,161,TIDAK
161,162,TIDAK
162,163,TIDAK
163,164,TIDAK
164,165,TIDAK
165,166,LOLOS
166,167,TIDAK
167,168,TIDAK
168,169,TIDAK
169,170,TIDAK
170,171,LOLOS
171,172,TIDAK
172,173,TIDAK
173,174,TIDAK
174,175,TIDAK
175,176,TIDAK
176,177,TIDAK
177,178,LOLOS
178,179,TIDAK
179,180,TIDAK
180,181,LOLOS
181,182,TIDAK
182,183,TIDAK
183,184,TIDAK
184,185,TIDAK
185,186,TIDAK
186,187,LOLOS
187,188,LOLOS
188,189,LOLOS
189,190,TIDAK
190,191,TIDAK
191,192,LOLOS
192,193,TIDAK
193,194,TIDAK
194,195,TIDAK
195,196,LOLOS
196,197,TIDAK
197,198,TIDAK
198,199,LOLOS
199,200,TIDAK
200,201,TIDAK
201,202,TIDAK
202,203,LOLOS
203,204,LOLOS
204,205,LOLOS
205,206,TIDAK
206,207,LOLOS
207,208,TIDAK
208,209,LOLOS
209,210,LOLOS
210,211,TIDAK
211,212,LOLOS
212,213,LOLOS
213,214,TIDAK
